feature,spearman_rho,spearman_p
n_tokens,0.9386,0.0
upos_dist_ADP,0.8877,0.0
dep_dist_case,0.8863,0.0
upos_dist_DET,0.8539,0.0
upos_dist_PUNCT,0.8513,0.0
avg_links_len,0.8464,0.0
max_links_len,0.8419,0.0
xpos_dist_FF,0.838,0.0
n_prepositional_chains,0.8186,0.0
subordinate_proposition_dist,0.8151,0.0
upos_dist_VERB,0.8134,0.0
avg_subordinate_chain_len,0.8125,0.0
verbs_num_pers_dist_Sing+3,0.7994,0.0
upos_dist_NOUN,0.7985,0.0
dep_dist_nmod,0.7967,0.0
avg_prepositional_chain_len,0.7905,0.0
verbs_mood_dist_Ind,0.778,0.0
verbs_mood_dist_Inf,0.7744,0.0
upos_dist_PROPN,0.7653,0.0
verbs_mood+tense_dist_Inf_Pres,0.7623,0.0
verbs_num_pers_dist_Plur+3,0.7605,0.0
principal_proposition_dist,0.7604,0.0
char_per_tok,0.7542,0.0
avg_token_per_clause,0.7531,0.0
dep_dist_nsubj,0.7415,0.0
dep_dist_conj,0.7411,0.0
xpos_dist_VA,0.739,0.0
verbs_tense_dist_Pres,0.7304,0.0
obj_post,0.7284,0.0
lexical_density,0.7267,0.0
verbs_mood+tense_dist_Ind_Pres,0.7245,0.0
upos_dist_CCONJ,0.7188,0.0
dep_dist_obj,0.7095,0.0
upos_dist_PRON,0.7041,0.0
subj_pre,0.7027,0.0
subordinate_post,0.7027,0.0
dep_dist_amod,0.699,0.0
dep_dist_mark,0.6904,0.0
dep_dist_advmod,0.6885,0.0
upos_dist_NUM,0.6876,0.0
upos_dist_ADV,0.6856,0.0
upos_dist_ADJ,0.6639,0.0
dep_dist_obl,0.6577,0.0
verbs_voice_dist_Active,0.657,0.0
avg_verb_edges,0.6421,0.0
verbs_tense_dist_PassPross,0.6035,0.0
verbs_voice_dist_Passive,0.6025,0.0
verbs_mood+tense_dist_Ind_PassPross,0.6002,0.0
xpos_dist_FB,0.5983,0.0
dep_dist_nummod,0.5966,0.0
dep_dist_acl:relcl,0.5936,0.0
upos_dist_SCONJ,0.5716,0.0
subj_post,0.5322,0.0
dep_dist_flat:name,0.5306,0.0
dep_dist_advcl,0.5192,0.0
dep_dist_cop,0.4933,0.0
verbs_mood_dist_Part,0.4671,0.0
verbs_mood+tense_dist_Part_Past,0.4502,0.0
verbs_tense_dist_Past,0.4476,0.0
dep_dist_acl,0.4405,0.0
verb_edges_dist_2,0.3883,0.0
verb_edges_dist_4,0.3675,0.0
verb_edges_dist_3,0.3526,0.0
verb_edges_dist_1,0.3232,0.0
