step,avg_rho,avg_links_len,avg_prepositional_chain_len,avg_subordinate_chain_len,avg_token_per_clause,avg_verb_edges,char_per_tok,dep_dist_acl,dep_dist_acl:relcl,dep_dist_advcl,dep_dist_advmod,dep_dist_amod,dep_dist_case,dep_dist_conj,dep_dist_cop,dep_dist_flat:name,dep_dist_mark,dep_dist_nmod,dep_dist_nsubj,dep_dist_nummod,dep_dist_obj,dep_dist_obl,lexical_density,max_links_len,n_prepositional_chains,n_tokens,obj_post,principal_proposition_dist,subj_post,subj_pre,subordinate_post,subordinate_proposition_dist,upos_dist_ADJ,upos_dist_ADP,upos_dist_ADV,upos_dist_CCONJ,upos_dist_DET,upos_dist_NOUN,upos_dist_NUM,upos_dist_PRON,upos_dist_PROPN,upos_dist_PUNCT,upos_dist_SCONJ,upos_dist_VERB,verb_edges_dist_1,verb_edges_dist_2,verb_edges_dist_3,verb_edges_dist_4,verbs_mood+tense_dist_Ind_PassPross,verbs_mood+tense_dist_Ind_Pres,verbs_mood+tense_dist_Inf_Pres,verbs_mood+tense_dist_Part_Past,verbs_mood_dist_Ind,verbs_mood_dist_Inf,verbs_mood_dist_Part,verbs_num_pers_dist_Plur+3,verbs_num_pers_dist_Sing+3,verbs_tense_dist_PassPross,verbs_tense_dist_Past,verbs_tense_dist_Pres,verbs_voice_dist_Active,verbs_voice_dist_Passive,xpos_dist_FB,xpos_dist_FF,xpos_dist_VA
25000,0.6084,0.8175,0.7434,0.771,0.6958,0.5864,0.6278,0.3708,0.5518,0.4959,0.6162,0.5527,0.8206,0.6579,0.4368,0.4189,0.5988,0.7321,0.625,0.5454,0.6139,0.5771,0.663,0.8434,0.7954,0.952,0.6355,0.6706,0.436,0.5851,0.6567,0.7713,0.5164,0.8547,0.6258,0.6838,0.8191,0.675,0.6548,0.6316,0.6246,0.8363,0.5274,0.6948,0.3179,0.378,0.2857,0.3692,0.5063,0.5061,0.6144,0.389,0.6323,0.6319,0.4043,0.6858,0.7029,0.5052,0.3983,0.5396,0.4888,0.4653,0.6097,0.8482,0.6482
50000,0.6436,0.8232,0.759,0.7995,0.7361,0.6051,0.6811,0.411,0.533,0.5216,0.659,0.6033,0.8655,0.6842,0.4485,0.4778,0.6656,0.7625,0.6761,0.5494,0.6478,0.6022,0.6799,0.834,0.8118,0.9433,0.6697,0.7196,0.4698,0.6432,0.6952,0.8004,0.5541,0.8797,0.651,0.6894,0.8418,0.7296,0.6734,0.6588,0.7116,0.8296,0.5448,0.7595,0.3427,0.3998,0.2787,0.3657,0.5656,0.5794,0.7232,0.4109,0.7049,0.7349,0.4251,0.7204,0.7574,0.5695,0.4094,0.6129,0.5737,0.5398,0.6072,0.8397,0.726
75000,0.6549,0.8282,0.7735,0.7995,0.7465,0.6287,0.6914,0.4282,0.5556,0.5252,0.6632,0.634,0.8665,0.703,0.4655,0.5009,0.6832,0.7723,0.6803,0.5755,0.6737,0.6337,0.6948,0.8389,0.8206,0.9421,0.6807,0.7217,0.4735,0.657,0.6857,0.8022,0.5965,0.8717,0.66,0.6794,0.8343,0.7598,0.6796,0.6746,0.7338,0.8415,0.5423,0.7931,0.3439,0.3745,0.3149,0.3718,0.5724,0.5993,0.7399,0.4179,0.7232,0.753,0.4359,0.7338,0.7682,0.5786,0.4183,0.6281,0.589,0.5569,0.6066,0.8357,0.7393
100000,0.6669,0.8324,0.7679,0.8075,0.7422,0.6394,0.7141,0.4275,0.5733,0.5377,0.6824,0.6506,0.8783,0.7082,0.4845,0.5106,0.6871,0.772,0.699,0.5811,0.6868,0.6333,0.7202,0.8302,0.8173,0.9391,0.6944,0.7382,0.5058,0.6694,0.7015,0.811,0.6153,0.8816,0.6733,0.6963,0.8439,0.7799,0.6896,0.6919,0.7569,0.8607,0.5607,0.7933,0.3606,0.3647,0.2898,0.368,0.5943,0.6623,0.7437,0.4318,0.7399,0.7565,0.4473,0.7413,0.7855,0.6013,0.4366,0.6717,0.6242,0.5781,0.6081,0.8389,0.7505
125000,0.6715,0.8356,0.7694,0.8102,0.7485,0.6496,0.7159,0.4496,0.5717,0.5396,0.6818,0.6693,0.8791,0.7319,0.5016,0.5137,0.6935,0.7804,0.7112,0.5781,0.698,0.6428,0.7152,0.8346,0.8165,0.9444,0.716,0.7491,0.5065,0.6638,0.7033,0.8118,0.6369,0.8816,0.6786,0.6967,0.8484,0.7803,0.6865,0.6882,0.7632,0.8567,0.564,0.7994,0.3507,0.3742,0.2877,0.3637,0.6015,0.69,0.7439,0.4367,0.7413,0.7532,0.4489,0.7516,0.7881,0.6081,0.4398,0.7003,0.6301,0.5748,0.594,0.8334,0.7539
150000,0.677,0.8355,0.7785,0.8092,0.7482,0.6459,0.7319,0.4453,0.5635,0.5236,0.686,0.6736,0.878,0.7357,0.5023,0.5176,0.6875,0.7817,0.7158,0.586,0.7047,0.641,0.7208,0.8329,0.8193,0.9374,0.7154,0.7482,0.524,0.6801,0.7042,0.8106,0.6587,0.8781,0.6768,0.7152,0.8596,0.7958,0.6868,0.6851,0.7738,0.8676,0.5658,0.8032,0.3761,0.3734,0.3092,0.3618,0.6078,0.7137,0.7482,0.4424,0.7661,0.7614,0.4608,0.7588,0.7926,0.6127,0.4392,0.7138,0.634,0.586,0.6098,0.8424,0.7656
175000,0.6759,0.8401,0.7795,0.8004,0.7465,0.644,0.7411,0.4345,0.5677,0.5393,0.6764,0.6767,0.8736,0.7418,0.5025,0.5116,0.682,0.7826,0.717,0.5754,0.6974,0.6408,0.729,0.8353,0.8262,0.9416,0.7143,0.7544,0.5155,0.6912,0.6941,0.8068,0.6679,0.8745,0.6815,0.7166,0.8607,0.7994,0.674,0.6904,0.7719,0.8569,0.571,0.798,0.3518,0.3721,0.3001,0.3666,0.6006,0.7183,0.7416,0.4333,0.7582,0.7553,0.4512,0.7589,0.8043,0.6057,0.4295,0.7204,0.6396,0.5919,0.607,0.8392,0.7726
200000,0.6764,0.8383,0.7727,0.8033,0.7503,0.6368,0.7481,0.4322,0.567,0.533,0.6876,0.6936,0.8767,0.7336,0.505,0.5195,0.6838,0.7753,0.7033,0.5794,0.6985,0.6429,0.7298,0.8376,0.8285,0.9403,0.724,0.764,0.5162,0.6895,0.6937,0.8105,0.6737,0.8754,0.6928,0.7144,0.8604,0.8019,0.6658,0.6878,0.774,0.8496,0.5619,0.8045,0.34,0.3566,0.2991,0.3613,0.6078,0.7357,0.7481,0.4323,0.7683,0.7609,0.4474,0.759,0.7945,0.6139,0.429,0.7289,0.6454,0.5988,0.5959,0.8332,0.756
225000,0.6765,0.8346,0.7781,0.7991,0.7522,0.6393,0.7371,0.4234,0.5744,0.5442,0.6793,0.6895,0.8751,0.7428,0.4987,0.5281,0.6923,0.7767,0.719,0.582,0.6976,0.6568,0.7314,0.8316,0.8212,0.9398,0.7191,0.7651,0.5189,0.6973,0.6981,0.8064,0.6775,0.8703,0.6865,0.7252,0.8592,0.7988,0.6741,0.6923,0.7767,0.8477,0.564,0.8052,0.3439,0.358,0.2913,0.3674,0.6101,0.7216,0.7496,0.4248,0.7651,0.7602,0.4392,0.7627,0.7962,0.6155,0.4257,0.7258,0.6463,0.5887,0.5978,0.8189,0.7611
250000,0.678,0.8374,0.7734,0.8041,0.758,0.6379,0.7385,0.4354,0.5689,0.5361,0.6861,0.6889,0.8755,0.7419,0.5083,0.5348,0.6894,0.7816,0.7156,0.5645,0.6995,0.654,0.7306,0.8348,0.8235,0.9383,0.7217,0.7661,0.5287,0.6863,0.7001,0.8093,0.676,0.8736,0.68,0.7178,0.8648,0.804,0.6682,0.6904,0.7765,0.8483,0.5592,0.8005,0.3542,0.3711,0.2935,0.3623,0.6132,0.7331,0.7517,0.4306,0.7634,0.7636,0.4477,0.7648,0.802,0.6189,0.4292,0.7378,0.6401,0.5871,0.5984,0.833,0.7664
