step,avg_rho,avg_links_len,avg_prepositional_chain_len,avg_subordinate_chain_len,avg_token_per_clause,avg_verb_edges,char_per_tok,dep_dist_acl,dep_dist_acl:relcl,dep_dist_advcl,dep_dist_advmod,dep_dist_amod,dep_dist_case,dep_dist_conj,dep_dist_cop,dep_dist_flat:name,dep_dist_mark,dep_dist_nmod,dep_dist_nsubj,dep_dist_nummod,dep_dist_obj,dep_dist_obl,lexical_density,max_links_len,n_prepositional_chains,n_tokens,obj_post,principal_proposition_dist,subj_post,subj_pre,subordinate_post,subordinate_proposition_dist,upos_dist_ADJ,upos_dist_ADP,upos_dist_ADV,upos_dist_CCONJ,upos_dist_DET,upos_dist_NOUN,upos_dist_NUM,upos_dist_PRON,upos_dist_PROPN,upos_dist_PUNCT,upos_dist_SCONJ,upos_dist_VERB,verb_edges_dist_1,verb_edges_dist_2,verb_edges_dist_3,verb_edges_dist_4,verbs_mood+tense_dist_Ind_PassPross,verbs_mood+tense_dist_Ind_Pres,verbs_mood+tense_dist_Inf_Pres,verbs_mood+tense_dist_Part_Past,verbs_mood_dist_Ind,verbs_mood_dist_Inf,verbs_mood_dist_Part,verbs_num_pers_dist_Plur+3,verbs_num_pers_dist_Sing+3,verbs_tense_dist_PassPross,verbs_tense_dist_Past,verbs_tense_dist_Pres,verbs_voice_dist_Active,verbs_voice_dist_Passive,xpos_dist_FB,xpos_dist_FF,xpos_dist_VA
400,0.455,0.8151,0.6517,0.67,0.5605,0.482,0.4766,0.2516,0.4651,0.3453,0.3721,0.3034,0.6895,0.5777,0.3072,0.2105,0.4004,0.5672,0.4917,0.2422,0.3429,0.4662,0.473,0.8419,0.7243,0.9454,0.4806,0.5317,0.3431,0.4633,0.5726,0.6953,0.2212,0.743,0.3529,0.5952,0.6791,0.4536,0.2389,0.4298,0.3357,0.7582,0.3816,0.3937,0.1676,0.2429,0.1944,0.266,0.3261,0.3201,0.3866,0.2979,0.4341,0.3974,0.3242,0.4848,0.5014,0.33,0.2968,0.3276,0.3396,0.3372,0.5483,0.8314,0.423
800,0.5507,0.8238,0.7469,0.7489,0.6626,0.5717,0.5773,0.3079,0.5614,0.4419,0.5602,0.4793,0.8427,0.6454,0.3726,0.3581,0.5195,0.7049,0.5457,0.3532,0.4818,0.5359,0.59,0.8543,0.7941,0.9646,0.5668,0.6406,0.413,0.5502,0.6414,0.7578,0.4139,0.8791,0.5539,0.6636,0.8387,0.5644,0.4144,0.5812,0.4658,0.8751,0.4798,0.6116,0.2298,0.2897,0.2495,0.3127,0.4237,0.4187,0.4963,0.3282,0.5592,0.5107,0.3532,0.5545,0.5879,0.4253,0.3238,0.4178,0.3814,0.3751,0.6129,0.8774,0.5638
1200,0.6012,0.8362,0.7742,0.7746,0.7151,0.5961,0.6531,0.3445,0.5794,0.478,0.6184,0.5677,0.8791,0.6715,0.4122,0.4112,0.5975,0.763,0.599,0.4475,0.5566,0.5919,0.6665,0.8532,0.8161,0.9629,0.6167,0.6874,0.4357,0.5918,0.6618,0.7799,0.5033,0.9076,0.6172,0.6988,0.8558,0.6609,0.5491,0.6406,0.6006,0.8817,0.5045,0.6946,0.2537,0.3638,0.2651,0.3496,0.4564,0.4994,0.5971,0.376,0.6401,0.6189,0.3931,0.6312,0.635,0.4586,0.3632,0.5129,0.4563,0.4353,0.6248,0.8824,0.611
1600,0.6284,0.832,0.7791,0.7944,0.7201,0.6144,0.6942,0.3877,0.5812,0.4992,0.6318,0.6175,0.9025,0.7018,0.4643,0.4683,0.6341,0.7729,0.6378,0.4861,0.5938,0.6099,0.6938,0.8472,0.826,0.9591,0.6394,0.7064,0.4432,0.6293,0.6926,0.7986,0.5541,0.9203,0.6275,0.7369,0.8642,0.6892,0.6097,0.6497,0.6656,0.8849,0.5247,0.746,0.3004,0.369,0.293,0.3621,0.4803,0.514,0.6594,0.4006,0.6764,0.6793,0.4144,0.6796,0.6926,0.4818,0.3929,0.5366,0.5067,0.473,0.6282,0.886,0.6602
2000,0.6442,0.8369,0.7838,0.7985,0.7266,0.6265,0.709,0.4026,0.5768,0.4943,0.644,0.6368,0.9043,0.7179,0.4671,0.5049,0.6505,0.7833,0.6548,0.4892,0.622,0.6243,0.6952,0.852,0.8296,0.9572,0.6606,0.7222,0.4724,0.6672,0.6974,0.8039,0.5835,0.922,0.6362,0.7408,0.8732,0.7085,0.6241,0.6709,0.7071,0.8964,0.5291,0.7649,0.3331,0.3794,0.2773,0.3472,0.5168,0.54,0.6923,0.4161,0.6986,0.7127,0.4296,0.7104,0.7247,0.5155,0.4106,0.5784,0.5542,0.5163,0.6342,0.884,0.6913
2400,0.6532,0.8458,0.7864,0.796,0.7402,0.6258,0.7156,0.4161,0.5848,0.4988,0.6545,0.6534,0.9113,0.7263,0.4646,0.5043,0.6678,0.7918,0.6737,0.5148,0.6349,0.6262,0.7263,0.8529,0.8325,0.9532,0.6659,0.7275,0.4841,0.6568,0.6878,0.7993,0.6009,0.9286,0.6509,0.7413,0.8736,0.7318,0.63,0.6963,0.7227,0.9018,0.5414,0.7718,0.3437,0.3861,0.2798,0.3354,0.5191,0.562,0.7177,0.4235,0.7184,0.7362,0.4385,0.7181,0.7377,0.5199,0.4129,0.5951,0.5858,0.536,0.6328,0.8824,0.7123
2800,0.6573,0.8493,0.7864,0.7989,0.7519,0.6235,0.7344,0.4217,0.5754,0.4939,0.6585,0.6542,0.9152,0.7381,0.4791,0.5098,0.6737,0.7893,0.6826,0.5127,0.6596,0.6359,0.7249,0.8522,0.83,0.9528,0.6842,0.7256,0.4907,0.6598,0.6969,0.804,0.6023,0.9284,0.6586,0.7386,0.8704,0.747,0.6258,0.6738,0.7268,0.9001,0.5393,0.7883,0.3616,0.3897,0.2767,0.3368,0.5296,0.555,0.7254,0.4327,0.7128,0.7432,0.4492,0.7251,0.7443,0.528,0.4301,0.596,0.5969,0.5411,0.6317,0.8805,0.7139
3200,0.6658,0.8541,0.7941,0.8054,0.7591,0.6344,0.7491,0.4393,0.588,0.5068,0.6709,0.6785,0.916,0.7354,0.4839,0.512,0.6798,0.7963,0.6885,0.5271,0.6753,0.6436,0.7313,0.8516,0.8339,0.9497,0.698,0.7453,0.4869,0.6672,0.705,0.8107,0.6355,0.9273,0.6681,0.7358,0.8651,0.765,0.6412,0.6929,0.7385,0.9018,0.5527,0.799,0.3635,0.3855,0.2968,0.3367,0.542,0.5638,0.7264,0.443,0.7237,0.7441,0.4629,0.7357,0.76,0.5401,0.4377,0.6076,0.6137,0.5476,0.6285,0.8842,0.7258
3600,0.6671,0.8525,0.787,0.8041,0.7589,0.6386,0.7572,0.4325,0.585,0.5059,0.6789,0.6768,0.9159,0.7361,0.4747,0.5177,0.6802,0.7985,0.6876,0.5231,0.6812,0.6605,0.7338,0.8511,0.8336,0.9518,0.701,0.7372,0.506,0.6838,0.7031,0.8087,0.6399,0.927,0.678,0.7488,0.8657,0.7776,0.6398,0.6922,0.7465,0.8951,0.5523,0.8028,0.3573,0.3808,0.2821,0.3492,0.5452,0.5846,0.7302,0.4346,0.7164,0.7464,0.4551,0.7381,0.7679,0.5464,0.4315,0.6233,0.5989,0.5494,0.6247,0.8846,0.7208
4000,0.6689,0.8511,0.7909,0.8058,0.7559,0.6378,0.7597,0.4322,0.5828,0.506,0.698,0.6735,0.9127,0.734,0.4679,0.5098,0.6805,0.8024,0.6915,0.5391,0.678,0.6652,0.7456,0.8477,0.8316,0.9481,0.6874,0.7483,0.5144,0.6875,0.7043,0.8094,0.6395,0.9245,0.6935,0.7408,0.865,0.7742,0.6474,0.693,0.7529,0.8809,0.5453,0.8062,0.3664,0.3954,0.2699,0.3462,0.5468,0.6023,0.7317,0.4362,0.723,0.7459,0.4558,0.7448,0.7712,0.5513,0.4381,0.6394,0.6037,0.5539,0.6269,0.8765,0.7247
